#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,1B%,2B%,3B%,HR%,real_1B%,real_2B%,real_3B%,real_HR%,HIP,real_HIP
1,Ronald Acuna Jr.,ATL,157,189.30486008836525,222.0,58.85125184094257,34.00294550810015,11.116347569955815,0.6539027982326951,13.078055964653904,44.13843888070692,34.65684830633284,26.8100147275405,1.3078055964653903,35.637702503681886,3.596465390279824,1.3078055964653903,0.9808541973490428,17.32842415316642,3.923416789396171,13.40500736377025,0.311,0.403846154,0.583765112,0.987611266,0.322580645,16.05301915,12.07658321,192,222,48,35,8,1,4,38,15,27,0,53,3,0,0,16,3,13,0.25,0.351,0.365,0.716,0.326,23.9,12.2,0.7428571428571429,0.2428571428571428,0.014285714285714285,0.0589101620029455,0.7954545454545454,0.18181818181818182,0.022727272727272728,0.018018018018018,45.77319587628866,44
2,Juan Soto,NYY,157,563.8895434462445,713.0,157.51104565537557,90.30633284241532,27.30191458026509,1.0500736377025035,37.80265095729013,116.55817378497792,110.25773195876288,139.659793814433,11.55081001472754,115.5081001472754,4.200294550810015,4.200294550810015,2.1001472754050075,11.55081001472754,4.200294550810015,7.350515463917526,0.28,0.423303835,0.530726257,0.954030092,0.288607595,16.20029455,19.58762887,576,713,166,90,31,4,41,128,109,129,2,119,4,4,0,7,4,3,0.288,0.419,0.569,0.989,0.298,16.7,18.1,0.7543859649122806,0.22807017543859642,0.0087719298245614,0.0530191458026509,0.72,0.248,0.032,0.0575035063113604,119.70839469808544,125
3,Mookie Betts,LAD,157,438.48600883652426,516.0,122.35051546391752,69.91458026509572,26.59793814432989,1.519882179675994,24.318114874815905,87.39322533136966,72.95434462444771,64.59499263622975,2.279823269513991,81.31369661266568,6.839469808541973,3.799705449189985,2.279823269513991,9.879234167893962,2.279823269513991,7.59941089837997,0.279,0.377218935,0.512998267,0.890217202,0.291196388,15.75846834,12.51840943,450,516,130,82,24,5,19,75,75,61,2,57,1,4,0,16,2,14,0.289,0.372,0.491,0.863,0.294,11.0,11.8,0.7131782945736433,0.2713178294573643,0.015503875968992248,0.0471281296023564,0.7387387387387387,0.21621621621621623,0.04504504504504504,0.0368217054263565,98.03240058910161,111
4,Kyle Tucker,HOU,157,297.56111929307804,339.0,83.37702503681885,46.930780559646536,18.47275405007364,1.9970544918998527,15.976435935198822,49.42709867452135,55.91752577319588,36.94550810014728,3.4948453608247423,50.92488954344624,1.4977908689248896,2.995581737849779,0.4992636229749632,12.980854197349045,2.995581737849779,9.985272459499264,0.28,0.359351988,0.516778523,0.876130512,0.288461538,15.02209131,10.89837997,277,339,80,44,13,0,23,56,49,56,3,54,1,2,0,11,0,11,0.289,0.408,0.585,0.993,0.282,15.9,16.5,0.6962962962962963,0.2740740740740741,0.02962962962962963,0.0471281296023564,0.7719298245614035,0.22807017543859648,0.0,0.0678466076696165,67.40058910162003,57
5,Corbin Carroll,ARI,157,598.3740795287187,684.0,163.19293078055964,99.72901325478644,30.220913107511045,9.066273932253312,24.17673048600884,104.76583210603827,88.6480117820324,64.47128129602356,2.0147275405007363,143.0456553755523,13.095729013254786,4.029455081001473,5.036818851251841,42.30927835051546,8.058910162002945,34.25036818851252,0.272,0.354074074,0.474747475,0.828821549,0.319444444,20.91310751,9.42562592,589,684,136,78,22,14,22,121,74,73,0,130,10,9,3,35,8,27,0.231,0.322,0.428,0.749,0.256,19.0,10.7,0.717391304347826,0.2173913043478261,0.06521739130434781,0.0353460972017673,0.6842105263157895,0.19298245614035087,0.12280701754385964,0.0321637426900584,139.0162002945508,114
6,Alex Bregman,HOU,157,538.759941089838,634.0,143.7938144329897,88.7039764359352,30.81296023564065,1.8674521354933729,22.40942562592047,87.77025036818851,85.90279823269515,81.23416789396171,1.8674521354933729,79.36671575846833,8.403534609720177,4.668630338733432,0.9337260677466864,2.8011782032400587,0.9337260677466864,1.8674521354933729,0.267,0.368731563,0.455805893,0.824537456,0.274841438,12.51840943,12.81296024,581,634,151,93,30,2,26,79,75,44,1,86,5,4,0,3,1,2,0.26,0.315,0.453,0.768,0.264,13.6,6.9,0.7307692307692307,0.25384615384615383,0.015384615384615385,0.0353460972017673,0.744,0.24,0.016,0.0410094637223974,121.38438880706923,125
7,Trea Turner,PHI,157,492.9587628865979,539.0,139.71134020618555,90.49484536082474,27.78350515463917,3.1752577319587627,19.051546391752577,77.79381443298969,68.2680412371134,36.51546391752577,0.7938144329896907,106.37113402061856,3.969072164948453,3.1752577319587627,1.5876288659793814,21.432989690721648,3.1752577319587627,18.25773195876289,0.284,0.335798817,0.47020934,0.806008156,0.325481799,19.73490427,6.77466863,505,539,149,103,25,0,21,88,62,27,0,98,6,1,0,19,4,15,0.295,0.338,0.469,0.807,0.331,18.2,5.0,0.7500000000000001,0.2302631578947368,0.026315789473684213,0.0353460972017673,0.8046875,0.1953125,0.0,0.0389610389610389,120.65979381443297,128
8,Freddie Freeman,LAD,157,552.4948453608247,638.0,166.3122238586156,103.3578792341679,36.64506627393225,1.8792341678939617,24.4300441826215,100.53902798232696,91.14285714285714,71.41089837997055,10.33578792341679,104.29749631811488,8.456553755522828,4.6980854197349045,0.9396170839469808,13.154639175257731,2.8188512518409423,10.33578792341679,0.3,0.386430678,0.506802721,0.8932334,0.331140351,16.34756996,11.19293078,542,638,153,94,35,2,22,81,89,78,9,100,10,8,0,9,2,7,0.282,0.378,0.476,0.854,0.306,15.7,12.2,0.728476821192053,0.2582781456953642,0.013245033112582781,0.0382916053019145,0.7175572519083969,0.26717557251908397,0.015267175572519083,0.0344827586206896,141.8821796759941,131
9,Austin Riley,ATL,157,417.1958762886598,469.0,116.04123711340206,67.69072164948453,22.103092783505154,1.381443298969072,24.8659793814433,68.38144329896907,75.28865979381443,40.06185567010309,2.072164948453608,112.58762886597938,7.597938144329897,4.144329896907216,0.0,1.381443298969072,0.6907216494845361,0.6907216494845361,0.278,0.34904271,0.516556291,0.865599001,0.321167883,24.00589102,8.54197349,425,469,109,62,26,2,19,63,56,37,0,118,5,2,0,0,0,0,0.256,0.322,0.461,0.783,0.31,25.2,7.9,0.7424242424242423,0.2424242424242424,0.015151515151515148,0.0530191458026509,0.6888888888888889,0.28888888888888886,0.022222222222222223,0.0405117270788912,91.17525773195877,90
10,Marcus Semien,TEX,157,640.8070692194403,718.0,170.24742268041237,103.62886597938144,35.952871870397644,3.172312223858616,27.49337260677467,107.85861561119292,88.82474226804123,65.56111929307805,1.057437407952872,115.26067746686304,4.229749631811488,4.229749631811488,3.172312223858616,13.746686303387335,3.172312223858616,10.574374079528718,0.265,0.335798817,0.46039604,0.796194856,0.284210526,16.05301915,9.13107511,650,718,154,102,27,2,23,101,74,64,2,105,3,1,0,8,3,5,0.237,0.308,0.391,0.699,0.25,14.6,8.9,0.725925925925926,0.2518518518518519,0.022222222222222223,0.0382916053019145,0.7786259541984732,0.20610687022900764,0.015267175572519083,0.032033426183844,142.7540500736377,131
